Sexo;Edad;Grado de dificultad;Total
Ambos sexos;TOTAL;TOTAL;100,00
Ambos sexos;TOTAL;Sin dificultad;86,12
Ambos sexos;TOTAL;Con alguna dificultad;7,92
Ambos sexos;TOTAL;Con mucha dificultad;4,09
Ambos sexos;TOTAL;No puede hacerlo;1,87
Ambos sexos;De 15 a 24 años;TOTAL;100,00
Ambos sexos;De 15 a 24 años;Sin dificultad;98,85
Ambos sexos;De 15 a 24 años;Con alguna dificultad;0,74
Ambos sexos;De 15 a 24 años;Con mucha dificultad;0,20
Ambos sexos;De 15 a 24 años;No puede hacerlo;0,21
Ambos sexos;De 25 a 34 años;TOTAL;100,00
Ambos sexos;De 25 a 34 años;Sin dificultad;98,25
Ambos sexos;De 25 a 34 años;Con alguna dificultad;1,41
Ambos sexos;De 25 a 34 años;Con mucha dificultad;0,27
Ambos sexos;De 25 a 34 años;No puede hacerlo;0,07
Ambos sexos;De 35 a 44 años;TOTAL;100,00
Ambos sexos;De 35 a 44 años;Sin dificultad;96,86
Ambos sexos;De 35 a 44 años;Con alguna dificultad;2,12
Ambos sexos;De 35 a 44 años;Con mucha dificultad;0,85
Ambos sexos;De 35 a 44 años;No puede hacerlo;0,17
Ambos sexos;De 45 a 54 años;TOTAL;100,00
Ambos sexos;De 45 a 54 años;Sin dificultad;92,30
Ambos sexos;De 45 a 54 años;Con alguna dificultad;5,37
Ambos sexos;De 45 a 54 años;Con mucha dificultad;2,11
Ambos sexos;De 45 a 54 años;No puede hacerlo;0,22
Ambos sexos;De 55 a 64 años;TOTAL;100,00
Ambos sexos;De 55 a 64 años;Sin dificultad;85,59
Ambos sexos;De 55 a 64 años;Con alguna dificultad;9,16
Ambos sexos;De 55 a 64 años;Con mucha dificultad;4,06
Ambos sexos;De 55 a 64 años;No puede hacerlo;1,19
Ambos sexos;De 65 a 74 años;TOTAL;100,00
Ambos sexos;De 65 a 74 años;Sin dificultad;75,86
Ambos sexos;De 65 a 74 años;Con alguna dificultad;14,43
Ambos sexos;De 65 a 74 años;Con mucha dificultad;6,92
Ambos sexos;De 65 a 74 años;No puede hacerlo;2,78
Ambos sexos;De 75 a 84 años;TOTAL;100,00
Ambos sexos;De 75 a 84 años;Sin dificultad;48,33
Ambos sexos;De 75 a 84 años;Con alguna dificultad;29,57
Ambos sexos;De 75 a 84 años;Con mucha dificultad;14,84
Ambos sexos;De 75 a 84 años;No puede hacerlo;7,25
Ambos sexos;De 85 y más años;TOTAL;100,00
Ambos sexos;De 85 y más años;Sin dificultad;24,69
Ambos sexos;De 85 y más años;Con alguna dificultad;27,82
Ambos sexos;De 85 y más años;Con mucha dificultad;27,00
Ambos sexos;De 85 y más años;No puede hacerlo;20,49
Hombres;TOTAL;TOTAL;100,00
Hombres;TOTAL;Sin dificultad;89,63
Hombres;TOTAL;Con alguna dificultad;6,22
Hombres;TOTAL;Con mucha dificultad;3,02
Hombres;TOTAL;No puede hacerlo;1,12
Hombres;De 15 a 24 años;TOTAL;100,00
Hombres;De 15 a 24 años;Sin dificultad;99,06
Hombres;De 15 a 24 años;Con alguna dificultad;0,63
Hombres;De 15 a 24 años;Con mucha dificultad;0,17
Hombres;De 15 a 24 años;No puede hacerlo;0,15
Hombres;De 25 a 34 años;TOTAL;100,00
Hombres;De 25 a 34 años;Sin dificultad;98,99
Hombres;De 25 a 34 años;Con alguna dificultad;1,01
Hombres;De 25 a 34 años;Con mucha dificultad;0,00
Hombres;De 25 a 34 años;No puede hacerlo;0,00
Hombres;De 35 a 44 años;TOTAL;100,00
Hombres;De 35 a 44 años;Sin dificultad;97,81
Hombres;De 35 a 44 años;Con alguna dificultad;1,36
Hombres;De 35 a 44 años;Con mucha dificultad;0,65
Hombres;De 35 a 44 años;No puede hacerlo;0,18
Hombres;De 45 a 54 años;TOTAL;100,00
Hombres;De 45 a 54 años;Sin dificultad;94,46
Hombres;De 45 a 54 años;Con alguna dificultad;3,52
Hombres;De 45 a 54 años;Con mucha dificultad;1,80
Hombres;De 45 a 54 años;No puede hacerlo;0,22
Hombres;De 55 a 64 años;TOTAL;100,00
Hombres;De 55 a 64 años;Sin dificultad;86,51
Hombres;De 55 a 64 años;Con alguna dificultad;8,02
Hombres;De 55 a 64 años;Con mucha dificultad;4,28
Hombres;De 55 a 64 años;No puede hacerlo;1,19
Hombres;De 65 a 74 años;TOTAL;100,00
Hombres;De 65 a 74 años;Sin dificultad;80,98
Hombres;De 65 a 74 años;Con alguna dificultad;11,23
Hombres;De 65 a 74 años;Con mucha dificultad;5,78
Hombres;De 65 a 74 años;No puede hacerlo;2,02
Hombres;De 75 a 84 años;TOTAL;100,00
Hombres;De 75 a 84 años;Sin dificultad;59,39
Hombres;De 75 a 84 años;Con alguna dificultad;26,09
Hombres;De 75 a 84 años;Con mucha dificultad;9,68
Hombres;De 75 a 84 años;No puede hacerlo;4,84
Hombres;De 85 y más años;TOTAL;100,00
Hombres;De 85 y más años;Sin dificultad;34,90
Hombres;De 85 y más años;Con alguna dificultad;31,26
Hombres;De 85 y más años;Con mucha dificultad;22,45
Hombres;De 85 y más años;No puede hacerlo;11,40
Mujeres;TOTAL;TOTAL;100,00
Mujeres;TOTAL;Sin dificultad;82,78
Mujeres;TOTAL;Con alguna dificultad;9,54
Mujeres;TOTAL;Con mucha dificultad;5,10
Mujeres;TOTAL;No puede hacerlo;2,58
Mujeres;De 15 a 24 años;TOTAL;100,00
Mujeres;De 15 a 24 años;Sin dificultad;98,62
Mujeres;De 15 a 24 años;Con alguna dificultad;0,87
Mujeres;De 15 a 24 años;Con mucha dificultad;0,24
Mujeres;De 15 a 24 años;No puede hacerlo;0,27
Mujeres;De 25 a 34 años;TOTAL;100,00
Mujeres;De 25 a 34 años;Sin dificultad;97,50
Mujeres;De 25 a 34 años;Con alguna dificultad;1,81
Mujeres;De 25 a 34 años;Con mucha dificultad;0,55
Mujeres;De 25 a 34 años;No puede hacerlo;0,14
Mujeres;De 35 a 44 años;TOTAL;100,00
Mujeres;De 35 a 44 años;Sin dificultad;95,91
Mujeres;De 35 a 44 años;Con alguna dificultad;2,88
Mujeres;De 35 a 44 años;Con mucha dificultad;1,06
Mujeres;De 35 a 44 años;No puede hacerlo;0,15
Mujeres;De 45 a 54 años;TOTAL;100,00
Mujeres;De 45 a 54 años;Sin dificultad;90,13
Mujeres;De 45 a 54 años;Con alguna dificultad;7,24
Mujeres;De 45 a 54 años;Con mucha dificultad;2,41
Mujeres;De 45 a 54 años;No puede hacerlo;0,22
Mujeres;De 55 a 64 años;TOTAL;100,00
Mujeres;De 55 a 64 años;Sin dificultad;84,71
Mujeres;De 55 a 64 años;Con alguna dificultad;10,25
